"","attribute","t.stat.16","t.pval.16","t.pval.adj.16","t.stat","t.pval","cohen.d","t.pval.adj"
"63","simvar79",4.75810641386052,1.02037525945133e-06,0.000957111993365346,4.73216417918934,1.14956453021621e-06,0.150581053538467,0.00108633848105432
"64","simvar4",4.74051509893169,1.1124195155783e-06,0.00104233708609687,4.57373420106696,2.46897353482719e-06,0.145539691465135,0.00232577306980721
"65","simvar44",4.70294492449288,1.33644875275211e-06,0.00125091603257598,4.86675200448275,5.89386645168145e-07,0.154863740224456,0.000558149152974234
"66","simvar35",4.57253544622958,2.50067035186216e-06,0.00233812677899112,3.57410306652774,0.000177815528686498,0.113730670541741,0.164123732977637
"67","simvar100",4.42854514442225,4.90243432416147e-06,0.00457887365876681,4.56976168947453,2.51598508256091e-06,0.145413283133105,0.00236754196268982
"68","simvar93",4.36871089834914,6.44768750514782e-06,0.00601569244230292,4.22951093634569,1.19753622302291e-05,0.134586246087621,0.011184988323034
"69","simvar55",4.25690641747138,1.06617233207485e-05,0.00993672613493763,4.09944530987667,2.1123372891719e-05,0.13044745919832,0.0196658601621904
"70","simvar53",4.23039948121804,1.19912096668041e-05,0.0111638161997946,4.17189535919866,1.54285422782148e-05,0.132752874721263,0.0143794014032962
"71","simvar28",4.11060240646007,2.02273429933066e-05,0.0188114289837751,3.66789959226426,0.000123886772620267,0.116715347135543,0.114595264673747
"72","simvar88",4.09699890674919,2.1446384759817e-05,0.01992369144187,3.77750761865664,8.03692418257596e-05,0.120203157673271,0.0745826564143049
"73","simvar50",4.07728303914112,2.33375388144944e-05,0.0216572360198508,3.66964546525418,0.000123046640985717,0.11677090213833,0.113941189552774
"74","simvar71",4.03126845978423,2.83853531431374e-05,0.0263132223636884,3.35355920279296,0.000402654161978539,0.106712797514708,0.370441829020255
"75","simvar14",3.94483602574978,4.07846780267578e-05,0.0377666118527777,3.55703668916243,0.000189732479557111,0.113187605469093,0.174933346151657
"76","simvar81",3.93665480224717,4.21927946398645e-05,0.0390283350418747,3.69455462333467,0.000111627678146884,0.117563530442101,0.103478857642161
"77","simvar40",3.90083337689995,4.89172384570671e-05,0.04519952833433,3.06442215361667,0.00109781474596139,0.0975122372988471,1
"78","simvar57",3.88210647764764,5.28237478494631e-05,0.0487563192650544,3.84027901254937,6.24105177350832e-05,0.122200591039174,0.0580417814936274
"79","simvar87",3.87722378210411,5.38896875193931e-05,0.0496862918928804,4.39758395617418,5.6172421108023e-06,0.139934457062308,0.00527459034204336
"80","simvar83",3.82141029959808,6.76077029872938e-05,0.0622666944512976,3.10374227745497,0.000962206717257404,0.0987634334637798,0.88234355972504
"81","simvar94",3.79138298262563,7.6288573491681e-05,0.0701854876123465,3.78832511913315,7.6962089020608e-05,0.120547378743531,0.0714977807001448
"82","simvar59",3.53305816363129,0.000208297164061835,0.191425093772826,3.17948795501565,0.000743380173801726,0.101173718377019,0.683166379723786
"83","simvar42",3.52807406548258,0.000212243248898313,0.194839302488651,2.94769319307143,0.00161014659027169,0.0937978332351311,1
"84","simvar2",3.42485247962379,0.000311439864309599,0.285590355571903,2.77907016262376,0.00273862693062453,0.0884321205053563,1
"85","var892",3.40246611577631,0.000338006282296295,0.309613754583406,2.94829033531001,0.00160704628600969,0.0938168347540961,1
"86","simvar96",3.38384545505256,0.000361693825063826,0.330949849933401,3.00082175736181,0.00135467518102005,0.0954884244489807,1
"87","simvar46",3.24791976594528,0.000587268554782721,0.536763459071407,2.90319236273632,0.00185713013553276,0.0923817830598928,1
"88","simvar80",3.14647681155397,0.000833846954707616,0.761302269648053,3.5128130884171,0.000224177995193724,0.111780376949681,0.20646793357342
"89","var361",3.12320798680786,0.000902456576606735,0.823040397865343,3.65908929529086,0.000128209115256684,0.11643499680322,0.118465222497176
"90","simvar27",3.09302786601958,0.000999176863759465,0.910250122884873,2.64532737956409,0.0040967589726417,0.0841763237042105,1
"91","simvar66",2.8610399151126,0.00212497282056505,1,2.64640605656967,0.00408374014651748,0.084210648024707,1
"92","var97",2.6584467338278,0.00394463794318274,1,2.83137105415732,0.00232916875163301,0.0900963745442925,1
"93","var104",2.52435289006222,0.00581958240452539,1,3.13463947597323,0.00086663851450839,0.0997466057562221,0.795574156318702
"94","simvar82",2.40261876384542,0.00816739902749956,1,2.45465978271075,0.00707231621521989,0.0781091361505568,1
"95","simvar22",2.38897573727143,0.00847652761773253,1,2.3024600846365,0.0106804943195535,0.0732660263140373,1
"96","simvar91",2.32601735826835,0.0100399176478428,1,2.35632687529123,0.00925262310489078,0.0749801084507468,1
"97","var741",2.28756516608945,0.0111139299737676,1,2.30628155726266,0.0105732144719979,0.0733876284715968,1
"98","var376",2.26541634240273,0.0117768741997725,1,2.362463924405,0.00910106234209443,0.0751753940085118,1
"99","var525",2.23558539868255,0.0127238467033039,1,2.50229544802713,0.00618960029228838,0.0796249391526783,1
"100","var804",2.18316431042565,0.0145480899607399,1,1.96001405263242,0.0250321768380928,0.0623691338296189,1
"101","var510",2.15476647293154,0.0156272775411586,1,2.85247354433381,0.00218029244960115,0.0907678717879926,1
"102","var300",2.14903404277693,0.0158532689379667,1,2.5945554217056,0.00475317163437249,0.0825607214945144,1
"103","simvar99",2.09717099791829,0.018028386209465,1,1.98546145099718,0.0235810968993863,0.0631788893474919,1
"104","var676",2.08310698043982,0.0186603634801295,1,2.02308599707381,0.0215657559048603,0.064376130941949,1
"105","var217",2.08215225489656,0.0187039403244375,1,1.98029270219482,0.0238699640616984,0.0630144158400936,1
"106","var891",2.05514373017516,0.0199730869919578,1,1.79813426870463,0.036116031248348,0.057217996318874,1
"107","var884",2.03958503157367,0.0207368500057839,1,2.14464379064492,0.016021083947243,0.0682441921352284,1
"108","simvar98",2.02632644321312,0.021407093366206,1,1.88479109955044,0.0297656996938942,0.0599754824057794,1
"109","var762",1.99790393348015,0.0229058129250691,1,2.37212528450108,0.00886687044751768,0.0754828258149314,1
"110","var25",1.91374693695143,0.0278708376053354,1,1.96808216770948,0.0245642126782826,0.0626258673710537,1
"111","var803",1.82380920811123,0.0341371040893776,1,2.07587874652648,0.0189848547768875,0.0660560362729462,1
"112","simvar97",1.80931240664104,0.0352481700465072,1,1.27577718108931,0.101054656498845,0.0405961975819852,1
"113","var245",1.80382095725545,0.0356767229337712,1,1.75737107917909,0.0394660191891774,0.0559208807092049,1
"114","var588",1.78577413145771,0.0371152811462452,1,1.63582596765631,0.0509778438022933,0.0520532230683226,1
"115","var73",1.78502446163944,0.0371760505576163,1,1.53146419167827,0.0628673947503575,0.0487323521980708,1
"116","var199",1.77330327410036,0.0381368110450099,1,1.40563577900948,0.0799554774493731,0.0447283966658294,1
"117","var467",1.7374554379933,0.0412015418849872,1,2.27422387332753,0.0115029677964122,0.072367528652959,1
"118","var136",1.69587296058339,0.0450036370761209,1,1.87564944895092,0.0303885662678709,0.059684588149741,1
"119","var4",1.68585817383447,0.045960334951344,1,3.06394701073742,0.00109955561407237,0.0974971178920324,1
"120","var108",1.67881276246769,0.046643117271924,1,1.72787627680694,0.0420442836476519,0.0549823337258523,1
"121","var160",1.66678339417104,0.0478277027375068,1,0.836772890844168,0.201385428948267,0.0266267480806907,1
"122","simvar70",1.65435474006256,0.0490767955524926,1,2.2245471374608,0.0130839761550763,0.0707867772377693,1
"123","var781",1.63211688377384,0.0513766597695004,1,2.03533600873489,0.0209418481088824,0.0647659356046644,1
"124","var159",1.63124256667765,0.0514688058204682,1,1.50425820100383,0.0662974231552323,0.047866636939008,1
"125","var589",1.62145087243948,0.0525097787373269,1,1.13015416092201,0.129239945598451,0.0359623626248891,1
"126","var867",1.61749487135491,0.052935061668817,1,2.0835026414345,0.01863478653812,0.0662986343916602,1
"127","var74",1.60914063012967,0.0538421483542135,1,1.4738228238893,0.0703044936835693,0.0468981601539249,1
"128","var801",1.60138875252815,0.0546948044800734,1,2.36207569831178,0.00911058515154884,0.0751630403597552,1
"129","var844",1.58998716336668,0.0559682713442265,1,1.71510608853298,0.0432021043883459,0.0545759766487598,1
"130","var200",1.58776222380782,0.0562194867220468,1,2.16748607077549,0.0151286822045007,0.0689710508149013,1
"131","var501",1.57517832372273,0.0576571012592467,1,1.53832142660814,0.0620250701523942,0.0489505546147665,1
"132","var144",1.57498754902119,0.0576791163132146,1,1.6554315364146,0.0489582155809471,0.0526770871370774,1
"133","var870",1.55962530097196,0.0594737008322765,1,1.70078228902912,0.044531294105451,0.0541201824839142,1
"134","var224",1.54346005293345,0.0614090670907098,1,2.09359489923425,0.0181798445910088,0.0666197776898474,1
"135","var788",1.53691945975245,0.0622059801402319,1,2.61559122010092,0.00447059909672326,0.0832300965551517,1
"136","var852",1.52967502096534,0.0630980459036443,1,1.30905195828619,0.0952964490448332,0.0416550262313797,1
"137","var659",1.52099814058233,0.064179582725585,1,1.44376222384019,0.0744425881327822,0.0459416090593328,1
"138","var821",1.50485075366546,0.0662306022005981,1,1.97006507819749,0.0244503316313357,0.0626889650868238,1
"139","var33",1.49870981104988,0.0670238151673758,1,1.26453878548098,0.103055657110213,0.040238583309381,1
"140","var497",1.46152843223109,0.0719843633503144,1,1.53957434437384,0.0618721213172403,0.048990423408412,1
"141","var388",1.44326008384509,0.0745225810781508,1,1.80413152041449,0.0356434198325174,0.0574088334172101,1
"142","var719",1.43280392147423,0.0760058117374779,1,2.45671924935927,0.0070319685948424,0.0781746699414225,1
"143","var121",1.42280682114496,0.0774448495916902,1,1.84273614921987,0.0327212169825027,0.0586372619874907,1
"144","var455",1.42265402650157,0.0774670032129819,1,1.20396955200032,0.114336744725198,0.0383112243581333,1
"145","var82",1.41597179840544,0.078440573097202,1,1.02315816448164,0.153147862884366,0.0325576688614641,1
"146","var566",1.41461394210871,0.0786395361899172,1,1.31972052810024,0.0935024122784897,0.0419945082149958,1
"147","var580",1.41178366842372,0.0790554784315771,1,1.36678356820014,0.0858854699503973,0.0434920898483912,1
"148","var452",1.40157869661223,0.0805690668739851,1,2.24204610265135,0.012506838229141,0.071343607583135,1
"149","var752",1.39845346355672,0.0810369502918826,1,1.52717439620718,0.0633988584464134,0.0485958476523618,1
"150","simvar21",1.37991479659694,0.0838546712424921,1,0.687607659932989,0.245870127593468,0.02188019729095,1
"151","var684",1.37437501375316,0.0847107955735588,1,1.5694051268387,0.0583168336544623,0.0499396615331564,1
"152","var6",1.33780718688174,0.0905272109765302,1,1.25354686243124,0.10504047233294,0.039888811980541,1
"153","var532",1.31983348334187,0.0934925438508154,1,1.26622218759939,0.10275410705131,0.040292150441653,1
"154","var59",1.31590293021299,0.0941504716206036,1,1.59718565672738,0.0551521590919534,0.0508236590658055,1
"155","var862",1.30412997759592,0.0961415622318276,1,1.21008721528489,0.113158918850159,0.0385058930441089,1
"156","var537",1.30401302704331,0.0961614955668644,1,1.25202651462568,0.105317166450309,0.0398404333601813,1
"157","var508",1.2764842130176,0.100938545320663,1,0.894076693259368,0.185667665128423,0.0284501985385992,1
"158","var773",1.2639403560776,0.103171777608039,1,0.901258536535953,0.183752910735337,0.0286787302391036,1
"159","var842",1.25430004371106,0.104912318365656,1,0.84691285354559,0.198547502612084,0.0269494093850334,1
"160","var518",1.20629326612367,0.113896831959855,1,1.50117073810112,0.0666956672442568,0.0477683915275965,1
"161","var429",1.19690472898547,0.115716204292609,1,1.48962785533177,0.0682009758646182,0.0474010882425746,1
"162","var413",1.1960362903356,0.115885533670019,1,1.94532395097739,0.0259034291866273,0.0619016836524823,1
"163","var889",1.17570405990322,0.119900336879189,1,1.3036451935683,0.096215278205278,0.0414829788770138,1
